organisasjonsnummer,navn,adresse,postnummer,epostadresse,telefon,mobil,company_website
810034882,SANDNES ELEKTRISKE AS,"Strandgata 21, 4307 SANDNES",4307,post@sandneselektriske.no,51 68 57 00,,https://www.sandneselektriske.no/
810059672,AASEN & FARSTAD AS,"Sjøgardsvegen 8, 6460 EIDSVÅG I ROMSDAL",6460,,71 23 24 56,41643007,
810094532,ALSTRAY AS,"Stoaveien 11, 4848 ARENDAL",4848,nilsgauslaa@gmail.com,,975 84 725,
810098252,ODD FELLOW HUSET BODØ AS,"Reinslettveien 2, 8009 BODØ",8009,oddfellowhusetbodo@gmail.com,,,https://www.oddfellow.no/category.php?categoryID=8669
810105372,SØRLANDSPORTEN EIENDOM AS,4994 AKLAND,4994,,37155025,,
810130822,ALSTRA AS,"Homme, 4990 SØNDELED",4990,,37 15 62 83,,
810182482,FAGMØBLER HERMAN ANDERSEN AS,"Bergemoveien 40, 4886 GRIMSTAD",4886,,37 04 11 40,,https://fagmobler.no/
810202572,BORTIGARD AS,"Løkkeveien 18, 3085 HOLMESTRAND",3085,,33051963,,
810274042,ARNESEN EIENDOM AS,"Kvaløyvegen 311, 9016 TROMSØ",9016,,77 66 36 00,,
810324562,SERVI GROUP AS,"Kveldroveien 3, 1407 VINTERBRO",1407,,64 97 97 97,,https://www.servi.no/en
810359862,AUTOBJØRN A/S,"Cecilie Thoresens vei 5-7, 1153 OSLO",1153,,23 03 10 20,97729988,https://www.autobjorn.no/
810363142,BJØRNSTJERNE BJØRNSONSGATE AS,"c/o Front Real Estate AS, Fridtjof Nansens plass 4, 0160 OSLO",0160,,32 21 03 71,,
810392312,METALLCO AS,"Strømsveien 287, 0668 OSLO",0668,post@metallco.com,23 14 26 10,,https://www.metallco.com/no/english/
810393572,HALWA AS,"Bergemoveien 7, 4886 GRIMSTAD",4886,,37040086,,
810412402,STOREBRAND TILLERTORGET AS,"Svartvassvegen 2, 6650 SURNADAL",6650,,71 65 75 00,,
810431172,AS SCAN-WOOD,"Repsetvegen 155, 2230 SKOTTERUD",2230,,,901 85 470,
810432322,BAUGE EIENDOM AS,"Nyheimvegen 27, 6905 FLORØ",6905,,,,
810438452,BECKMANN AS,"Buråsen 32, 4636 KRISTIANSAND S",4636,firmapost@beckmann.no,38 12 10 80,,https://beckmann-norway.com/en?srsltid=AfmBOoqSTJQGRN2C_IthLicyVZtxYJCyi-BdM1g-nsF8sLgH_K-vt-bo
810441682,FIDUCIA NORWAY AS,"c/o Revisjonsselskapet AS, Nensetvegen 39, 3736 SKIEN",3736,,35552277,,
810463902,E BERENTSEN AS,"Kontinentalvegen 22, 4056 TANANGER",4056,,,,
810483822,FRIHOLMEN AS,"Tollbodgaten 1, 4836 ARENDAL",4836,,92 02 64 44,913 20 110,
810547472,BRØDR BERNTSEN AS,"Hensmoveien 43, 3516 HØNEFOSS",3516,,32 10 97 70,,https://www.bberntsen.no/
810556722,B & G EIENDOM AS,"c/o Bertelsen & Garpestad AS, Hovlandsveien 70, 4374 EGERSUND",4374,,,,
810574232,AS TROMSØ AUTOMOBILCOMPANI - AS TACO,"Kirkegata 1, 9008 TROMSØ",9008,,94 16 66 66,,https://www.taco.no/
810582332,SOM EIENDOM AS,"Hallsgate 5, 3912 PORSGRUNN",3912,,,,
810584742,SAUDA AUTO AS,"Birkelandsvegen 106, 4200 SAUDA",4200,,,,
810684402,BLOKKEN SKIPSVERFT EIENDOM AS,"Blokken, 8406 SORTLAND",8406,,76124500,,https://www.blokken.no/
810703342,OCTOPUS EIENDOM AS,"c/o Sandvoldgruppen AS, Drammensveien 127, 0277 OSLO",0277,,22 12 87 00,,https://oljelandet.no/bedrift/octopus-eiendom-as
810733772,BORGE EIENDOM AS,"Kilengaten 15, 3117 TØNSBERG",3117,,33313028,,
810855762,AS CHR BRUN TORVET,"Torgallmenningen 7, 5014 BERGEN",5014,,,,
810859482,BRUNSTAD AS,"Sykkylvsvegen 415, 6230 SYKKYLVEN",6230,marked@brunstad.no,70 24 60 00,,https://www.brunstad.no/
810876832,FINN BRYNILDSRUD & SØNNER AS,"Kallumveien 28, 1524 MOSS",1524,office@brynildsrud.com,69 25 36 17,,http://www.brynildsrud.com/
810894342,ODVAR BRÅTHEN RØRLEGGERFORRETNING AS,2100 SKARNES,2100,,62961106,,https://www.xn--rrleggerlisten-qqb.no/firma/odvar-brathen-rorleggerforretning-as
810902612,Bugge & Amundsen AS,"v/ Formue Accounting AS, Gamle Kirkeplass 7, 3019 DRAMMEN",3019,mette@vosas.no,33 32 48 53,,https://yra.no/en/company/810902612
